ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,datetime,hour
2025-11-14 15:00:00+00:00,34,2,9928,1024.45,1030.07,1019.01,1026.16,100072,LLY,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,2306,509.98,510.36,506.43,508.145,52470,BRK.B,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,17448,100.98,101.36,100.36,101.17,434488,WMT,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,12540,148.02,148.96,148.01,148.25,266182,PG,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,12463,143.99,144.88,143.905,144.46,129258,PEP,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,10847,93.05,93.96,92.85,93.78,1073623,MRK,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,16009,576.72,582.61,574.35,578.0,19749,TMO,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,7152,276.15,278.46,274.68,277.23,1365540,GOOGL,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,16244,398.13,405.84,391.14,405.28,4388825,TSLA,2025-11-14 15:00:00+00:00,15
2025-11-14 15:00:00+00:00,34,2,16549,323.2,324.5,320.8,322.12,127959,UNH,2025-11-14 15:00:00+00:00,15
2025-11-14 16:00:00+00:00,34,2,10847,93.8,94.85,93.74,94.83,465474,MRK,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,7152,277.21,278.56,276.28,277.86,860038,GOOGL,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,168,247.38,248.09,246.88,247.705,31520,ACN,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,853,237.84,238.73,237.15,237.87,669338,AMZN,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,7569,363.3,364.36,362.71,364.36,35271,HD,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,12540,148.22,148.36,147.62,148.29,167830,PG,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,16727,331.52,332.08,330.94,331.97,92410,V,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,3942,156.26,157.23,156.09,157.04,146629,CVX,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,10451,610.37,612.0,606.97,609.15,425045,META,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,16009,578.21,582.93,577.23,582.29,15702,TMO,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,12497,25.105,25.375,25.085,25.34,1254129,PFE,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,16549,322.12,323.28,320.84,322.59,63267,UNH,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,38,274.26,274.86,273.52,274.8,1354775,AAPL,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,10193,550.39,552.21,549.42,550.62,22249,MA,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,86,129.88,130.13,129.57,130.07,84118,ABT,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,12463,144.45,145.16,144.44,145.11,111750,PEP,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,54,232.32,233.2,232.13,232.66,56387,ABBV,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,17448,101.17,101.52,100.97,101.425,313136,WMT,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,9113,195.13,195.64,195.01,195.56,114460,JNJ,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,9155,306.37,306.54,304.23,305.66,114374,JPM,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,9475,70.855,70.96,70.6,70.685,141489,KO,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,11667,188.58,190.685,187.56,190.02,4029905,NVDA,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,17709,118.27,118.93,118.19,118.85,269019,XOM,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,10888,506.92,510.59,506.69,510.46,479703,MSFT,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,2306,508.28,510.595,507.9,510.44,29050,BRK.B,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,3745,77.77,78.56,77.3,78.2,1206373,CSCO,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,3572,920.65,922.1,917.44,921.49,32852,COST,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,16244,405.29,412.17,401.55,409.12,3058575,TSLA,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,1429,340.39,344.5,338.45,343.41,381626,AVGO,2025-11-14 16:00:00+00:00,16
2025-11-14 16:00:00+00:00,34,2,9928,1025.69,1033.0,1023.62,1029.57,58578,LLY,2025-11-14 16:00:00+00:00,16
2025-11-14 17:00:00+00:00,34,2,54,232.75,234.5,232.69,234.42,33319,ABBV,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,17448,101.42,101.85,101.25,101.75,230565,WMT,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,9475,70.69,70.99,70.63,70.905,110205,KO,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,38,274.8,275.96,274.56,275.12,970569,AAPL,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,7569,364.385,365.57,363.91,364.7,38235,HD,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,12463,145.08,145.55,144.72,145.35,98594,PEP,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,10847,94.83,95.07,94.42,94.7,400785,MRK,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,12497,25.34,25.545,25.335,25.45,816036,PFE,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,1429,343.36,344.75,342.065,342.8,314127,AVGO,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,11667,190.0,190.4,188.84,189.42,2677954,NVDA,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,10193,550.61,552.08,550.14,550.5,16790,MA,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,12540,148.29,148.5,147.845,147.92,133177,PG,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,86,130.01,130.32,129.98,130.21,40238,ABT,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,3942,157.02,157.41,156.54,157.41,122374,CVX,2025-11-14 17:00:00+00:00,17
2025-11-14 17:00:00+00:00,34,2,3745,78.19,78.45,77.98,78.18,546329,CSCO,2025-11-14 17:00:00+00:00,17
